#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hellenic_group;Hellenic;;;;;;;;;;;;;x
druidic_group;Druidic;;;;;;;;;;;;;x
heathen_group;Heathen;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
roman_hellenic;Roman Hellinic;;;;;;;;;;;;;x
greek_hellenic;Greek Hellenic;;;;;;;;;;;;;x
celtic_druidic;Celtic Druidic;;;;;;;;;;;;;x
gaulish_druidic;Gaulish Druidic;;;;;;;;;;;;;x
british_druidic;British Druidic;;;;;;;;;;;;;x
heathen;Germanic Faith;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
roman_hellenic_DESC;Claiming a line of descent back to Hercules, Romans are not lacking in pride. Romans are not lacking in fierceness: their city was founded by Romulus and Remus, twins raised by a wolf. Roman armies may have been beaten, but they have always dragged themselves back into any fight, and battled on.;;;;;;;;;;;;;x
greek_hellenic_DESC;Most of the Greek states were 'poleis', cities with surrounding villages. The world-renowned culture of the Greeks relies on the toil of farmers, the skills of merchants and soldiers, and the wits of philosophers.;;;;;;;;;;;;;x
celtic_druidic_DESC;"These Celts are an influential, vigorous people: their migration has taken them to the shores of the Mediterranean where they have invaded Macedon, Illyria, Thrace and Asia Minor; they have sacked Rome. But they are not just a warrior culture. Gauls are master craftsmen too.";;;;;;;;;;;;;x
gaulish_druidic_DESC;"These Celts are an influential, vigorous people: their migration has taken them to the shores of the Mediterranean where they have invaded Macedon, Illyria, Thrace and Asia Minor; they have sacked Rome. But they are not just a warrior culture. Gauls are master craftsmen too.";;;;;;;;;;;;;x
british_druidic_DESC;"Described by Pytheas as ""Pretannoi"" or ""Pretani"" - the ""painted ones"" - these Celts are a fierce and independent people from the island of Hai Bretannai.";;;;;;;;;;;;;x
heathen_DESC;"The Germanic tribes are fearless warriors, entirely at home in their dark and forbidding forests, worshipping dark, forbidding gods. Their name, in Latin, is a Gallic borrowing, ""ger"" and ""mani"" meaning near-men or neighbours. They are not given to acting in a neighbourly fashion: they will take from the weak, and value their independence above all.";;;;;;;;;;;;;x
;;;;;;;;;;;;;;
STAT_PIETY_PIETY_ROMAN;Pietas;;;;;;;;;;;;;x
STAT_PIETY_PIETY_CELTIC;Spirit Favour;;;;;;;;;;;;;x
STAT_PIETY_PIETY_GERMANIC;Favour;;;;;;;;;;;;;x
STAT_PIETY_MENU_PIETY_ROMAN;Pietas;;;;;;;;;;;;;x
STAT_PIETY_MENU_PIETY_CELTIC;Spirit Favour;;;;;;;;;;;;;x
STAT_PIETY_MENU_PIETY_GERMANIC;Favour;;;;;;;;;;;;;x
